C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C8:1
D1:1
R1:1
R10:1
R2:1
R3:1
R4:1
R5:1
R6:1
R9:1
U1:1
USB1:1
USBC1:1
USBC2:1
USBC3:1
USBC4:1
